Designator,Mid X,Mid Y,Rotation,Layer
C1,83.3374,-72.133399,270.0,top
C2,86.36,-77.216,270.0,top
C3,104.7496,-78.7146,0.0,top
C4,85.1408,-80.8482,270.0,top
C5,85.0392,-85.151,270.0,top
C6,95.6056,-84.0638,270.0,top
DZ1,102.1832,-81.2292,180.0,top
IC1,91.268,-73.787,0.0,top
IC2,90.7796,-84.4448,180.0,top
J1,80.4738,-89.378,270.0,top
J2,80.4738,-81.25,270.0,top
J3,100.242,-59.951,0.0,top
J4,84.416,-59.951,0.0,top
J5,81.3502,-97.3882,0.0,top
J6,89.7696,-97.3882,0.0,top
J7,92.3326,-62.9744,180.0,top
J8,105.029,-96.2406,0.0,top
Q1,90.5162,-90.617,0.0,top
Q2,86.63,-90.6322,180.0,top
R1,104.2924,-91.186,90.0,top
R10,94.9706,-90.0644,90.0,top
R11,104.2924,-93.6518,90.0,top
R12,94.9706,-92.6064,90.0,top
R13,104.2924,-88.771,270.0,top
R14,89.0798,-93.3196,0.0,top
R2,91.8952,-80.4418,180.0,top
R3,94.1812,-80.4418,180.0,top
R4,100.3554,-79.4004,0.0,top
R5,97.4598,-79.248,0.0,top
R6,103.4026,-83.4898,180.0,top
R7,89.8144,-88.138,180.0,top
R8,86.5866,-88.1634,180.0,top
R9,85.092,-93.2434,180.0,top
SW1,99.5426,-91.44,0.0,top
U1,88.6714,-90.830399,270.0,bottom
VR1,95.8342,-73.8886,0.0,bottom
